ID,Date,Band,Genus,Species,Sex,Age,Time,Site,Mass,Wing_length,Tail_length,Fat_code,Condition
3D6.1D59AEEB84,5/17/21,A00003144,Archilochus,BCHU,F,AHY,8:40:00,SB,3.33,45,NA,0,13.51351351
3D6.1D59AEEBA8,5/17/21,A00003145,Archilochus,BCHU,M,AHY,8:32:00,SB,3.15,42,NA,0,13.33333333
3D6.1D59AEEBA7,5/17/21,A00003146,Archilochus,BCHU,M,AHY,8:18:00,SB,2.8,43,NA,0,15.35714286
3D6.1D59AEEB91,5/11/21,A00003126,Archilochus,BCHU,F,AHY,11:15:00,SB,4.3,46,NA,0,10.69767442
3D6.1D59AEEB5A,5/11/21,A00003128,Archilochus,BCHU,F,AHY,11:06:00,SB,3.29,46,NA,0,13.98176292
3D6.1D59AEEBB3,5/11/21,NA,Archilochus,BCHU,F,AHY,10:55:00,SB,3.38,47,NA,0,13.90532544
3D6.1D59AEEB5C,5/11/21,A00003127,Archilochus,BCHU,F,AHY,10:55:00,SB,3.63,46,NA,0,12.67217631
3D6.1D59AEEB5B,5/11/21,A00003130,Archilochus,BCHU,M,AHY,10:45:00,SB,2.82,43,NA,0,15.24822695
3D6.1D593E1AE6,5/11/21,NA,Archilochus,BCHU,M,AHY,10:40:00,SB,2.78,43,NA,0,15.4676259
3D6.1D59AEEB80,5/11/21,510086600,Archilochus,BCHU,F,AHY,10:00:00,SB,3.73,46,NA,0,12.33243968
3D6.1D59AEEB9A,5/11/21,A00003125,Archilochus,BCHU,F,AHY,10:00:00,SB,3.61,47,NA,0,13.01939058
3D6.1D593E1AFB,5/11/21,NA,Archilochus,BCHU,F,AHY,9:50:00,SB,4.16,46,NA,0,11.05769231
3D6.1D59AEEB8D,5/11/21,A00003129,Archilochus,BCHU,M,AHY,9:44:00,SB,2.8,47,NA,0,16.78571429
3D6.1D59AEEB53,5/11/21,A00003134,Archilochus,BCHU,M,AHY,9:20:00,SB,2.89,42,NA,0,14.53287197
