Row,ID,Year,Month,Sex,FreqA1,FreqD1,FreqD2,PropA1,PropD1,PropD2
2,X3D6.1D593E19BD,2020,1,F,10,0,0,1,0,0
29,X3D6.1D593E19BD,2020,2,F,10,0,0,1,0,0
653,X3D6.1D593E19BD,2020,10,F,2,1,0,0.66667,0.33333,0
721,X3D6.1D593E19BD,2020,11,F,4,53,0,0.07018,0.92982,0
3,X3D6.1D593E19C4,2020,1,M,260,0,0,1,0,0
30,X3D6.1D593E19C4,2020,2,M,260,0,0,1,0,0
559,X3D6.1D593E19C4,2020,8,M,0,17,0,0,1,0
587,X3D6.1D593E19C4,2020,9,M,0,3,1,0,0.75,0.25
670,X3D6.1D593E19C4,2020,10,M,0,0,13,0,0,1
742,X3D6.1D593E19C4,2020,11,M,0,18,0,0,1,0
786,X3D6.1D593E19C4,2020,12,M,2,0,0,1,0,0
5,X3D6.1D593E19C7,2020,1,F,59,0,0,1,0,0
32,X3D6.1D593E19C7,2020,2,F,59,0,0,1,0,0
71,X3D6.1D593E19C7,2020,3,F,4,0,0,1,0,0
97,X3D6.1D593E19C7,2020,5,F,18,21,0,0.46154,0.53846,0
186,X3D6.1D593E19C7,2020,6,F,15,431,0,0.03363,0.96637,0
370,X3D6.1D593E19C7,2020,7,F,0,1247,0,0,1,0
513,X3D6.1D593E19C7,2020,8,F,0,314,6,0,0.98125,0.01875
574,X3D6.1D593E19C7,2020,9,F,0,151,92,0,0.6214,0.3786
659,X3D6.1D593E19C7,2020,10,F,0,1,1,0,0.5,0.5
743,X3D6.1D593E19C7,2020,11,F,0,253,0,0,1,0
9,X3D6.1D593E19CB,2021,1,M,14,0,12,0.53846,0,0.46154
47,X3D6.1D593E19CB,2021,2,M,211,0,867,0.19573,0,0.80427
154,X3D6.1D593E19CB,2021,3,M,205,1,236,0.4638,0.00226,0.53394
201,X3D6.1D593E19CB,2021,4,M,312,0,368,0.45882,0,0.54118
322,X3D6.1D593E19CB,2021,5,M,517,14,0,0.97363,0.02637,0
537,X3D6.1D593E19CB,2021,6,M,102,1,0,0.99029,0.00971,0
766,X3D6.1D593E19CB,2021,7,M,0,26,0,0,1,0
952,X3D6.1D593E19CB,2021,8,M,0,4,1,0,0.8,0.2
1033,X3D6.1D593E19CB,2021,9,M,8,0,65,0.10959,0,0.89041
1123,X3D6.1D593E19CB,2021,10,M,0,2,0,0,1,0
6,X3D6.1D593E19CB,2020,1,M,311,0,0,1,0,0
33,X3D6.1D593E19CB,2020,2,M,311,0,0,1,0,0
60,X3D6.1D593E19CB,2020,3,M,150,0,0,1,0,0
85,X3D6.1D593E19CB,2020,5,M,1016,4,0,0.99608,0.00392,0
210,X3D6.1D593E19CB,2020,6,M,145,5,0,0.96667,0.03333,0
491,X3D6.1D593E19CB,2020,8,M,13,10,0,0.56522,0.43478,0
617,X3D6.1D593E19CB,2020,9,M,0,0,18,0,0,1
737,X3D6.1D593E19CB,2020,11,M,6,0,2,0.75,0,0.25
788,X3D6.1D593E19CB,2020,12,M,2,0,0,1,0,0
4,X3D6.1D593E19CB,2019,1,M,13,0,0,1,0,0
36,X3D6.1D593E19D0,2018,11,F,9,0,0,1,0,0
32,X3D6.1D593E19D1,2021,1,M,0,2,2,0,0.5,0.5
97,X3D6.1D593E19D1,2021,2,M,133,231,505,0.15305,0.26582,0.58113
141,X3D6.1D593E19D1,2021,3,M,184,43,262,0.37628,0.08793,0.53579
